name,sub_area,area,grade,star_count,popular
Dodge the Choss,Devils Lake Bouldering,Devil's Lake,4,2,3
Project,Devils Lake Bouldering,Devil's Lake,8,2,1
West Side,Devils Lake Bouldering,Devil's Lake,0,2,3
Left Arete,Devils Lake Bouldering,Devil's Lake,2,2,3
Right Side,Devils Lake Bouldering,Devil's Lake,2,2.5,3
Center Face,Devils Lake Bouldering,Devil's Lake,3,2.5,4
Fudge Shoppe,Devils Lake Bouldering,Devil's Lake,3,3,6
Heineken Pillar,Devils Lake Bouldering,Devil's Lake,1,2,4
Heineken Crack,Devils Lake Bouldering,Devil's Lake,2,2,3
Jack Backwards,Devils Lake Bouldering,Devil's Lake,12,3.5,3
Big Money Project,Devils Lake Bouldering,Devil's Lake,5,3,1
Mini Right,Devils Lake Bouldering,Devil's Lake,9,2,3
Mini Left,Devils Lake Bouldering,Devil's Lake,0,2,3
Tibial Pursuit,Devils Lake Bouldering,Devil's Lake,0,2,2
The Queen's Wave,Devils Lake Bouldering,Devil's Lake,2,3,2
Storm Chasers Project,Devils Lake Bouldering,Devil's Lake,5,3,1
Unknown Wall 2,Devils Lake Bouldering,Devil's Lake,0,2,1
Unknown Wall 1,Devils Lake Bouldering,Devil's Lake,0,2,1
Corn Corner,Devils Lake Bouldering,Devil's Lake,1,2,1
Chimney Sweep,Devils Lake Bouldering,Devil's Lake,0,2,1
Vanishing Point,Devils Lake Bouldering,Devil's Lake,2,3,3
Spectacles,Devils Lake Bouldering,Devil's Lake,3,2.5,3
Vision Quest,Devils Lake Bouldering,Devil's Lake,6,4,4
Foggy Vision,Devils Lake Bouldering,Devil's Lake,7,2,2
Fever Dream,Devils Lake Bouldering,Devil's Lake,7,3,2
Ejaculation,Devils Lake Bouldering,Devil's Lake,2,2.5,3
Ejaculator Left,Devils Lake Bouldering,Devil's Lake,2,2.5,3
Eject,Devils Lake Bouldering,Devil's Lake,3,2,1
Nocturnal Emissions,Devils Lake Bouldering,Devil's Lake,3,2,1
Z MOVE Left,Devils Lake Bouldering,Devil's Lake,4,2,2
The Ejaculator,Devils Lake Bouldering,Devil's Lake,5,3.5,5
Dream Fatigue,Devils Lake Bouldering,Devil's Lake,5,4,1
Ejaculator Right.,Devils Lake Bouldering,Devil's Lake,7,2,1
Z MOVE,Devils Lake Bouldering,Devil's Lake,8,3,5
Boom Box,Devils Lake Bouldering,Devil's Lake,0,1,1
Buzz Bomb,Devils Lake Bouldering,Devil's Lake,1,3,3
Shadow Wall,Devils Lake Bouldering,Devil's Lake,2,2,1
Jones' Roof,Devils Lake Bouldering,Devil's Lake,4,3,6
Agape,Devils Lake Bouldering,Devil's Lake,4,3,1
The Titan (aka Birthday Prow),Devils Lake Bouldering,Devil's Lake,5,4,4
Easy route,Devils Lake Bouldering,Devil's Lake,1,2,17
Slice of Pie,Devils Lake Bouldering,Devil's Lake,1,2.5,8
Thank Glob Ledge,Devils Lake Bouldering,Devil's Lake,1,2.5,2
Bumped Boy,Devils Lake Bouldering,Devil's Lake,1,1,1
Magic Slab,Devils Lake Bouldering,Devil's Lake,1,2,1
Bumboy,Devils Lake Bouldering,Devil's Lake,1,2,3
Left of Love Triangle,Devils Lake Bouldering,Devil's Lake,1,2,2
Centerpede,Devils Lake Bouldering,Devil's Lake,1,1.5,3
GeriaTricks,Devils Lake Bouldering,Devil's Lake,1,2.5,4
West Face,Devils Lake Bouldering,Devil's Lake,2,1.5,4
Millipede,Devils Lake Bouldering,Devil's Lake,2,2,2
Slice of Life,Devils Lake Bouldering,Devil's Lake,2,2.5,10
Dab on Paul's Nuts,Devils Lake Bouldering,Devil's Lake,3,1,1
Humpback,Devils Lake Bouldering,Devil's Lake,4,2.5,8
Love Triangle,Devils Lake Bouldering,Devil's Lake,4,2.5,6
Amazing pillar original route,Devils Lake Bouldering,Devil's Lake,5,3.5,3
Amazing Pillar,Devils Lake Bouldering,Devil's Lake,6,4,58
Amazing Face,Devils Lake Bouldering,Devil's Lake,6,2.5,2
The Magician,Devils Lake Bouldering,Devil's Lake,8,4,13
White Rabbit,Devils Lake Bouldering,Devil's Lake,8,4,9
Thumbs Up,Devils Lake Bouldering,Devil's Lake,8,2.5,2
Midlife Crisis,Devils Lake Bouldering,Devil's Lake,9,2,1
Easy Flakes,Devils Lake Bouldering,Devil's Lake,0,2,14
Pedestal Mantle,Devils Lake Bouldering,Devil's Lake,0,1.5,20
Welcome Route,Devils Lake Bouldering,Devil's Lake,0,2.5,36
Warm up 2,Devils Lake Bouldering,Devil's Lake,0,2,18
Stairway,Devils Lake Bouldering,Devil's Lake,0,3,100
Welcome Route,Devils Lake Bouldering,Devil's Lake,0,2.5,36
